,0,1
0,abate,decrease
1,abate,diminish
2,abate,dull
3,abate,dwindle
4,abate,ebb
5,abate,recede
6,abate,slacken
7,abate,slow
8,abate,subside
9,abate,taper
10,aberrant,abnormal
11,aberrant,deviant
12,aberrant,psycho
13,aberrant,weird
14,aberrant,atypical
15,aberrant,bizarre
16,aberrant,different
17,aberrant,flaky
18,aberrant,mental
19,aberrant,nonstandard
20,abeyance,discontinuation
21,abeyance,dormancy
22,abeyance,inactivity
23,abeyance,intermission
24,abeyance,latency
25,abeyance,postponement
26,abeyance,quiescence
27,abeyance,recess
28,abeyance,remission
29,abeyance,suspension
30,abscond,bolt
31,abscond,break
32,abscond,decamp
33,abscond,disappear
34,abscond,escape
35,abscond,fade
36,abscond,flee
37,abscond,get
38,abscond,hightail
39,abscond,jump
40,abstemious,abstinent
41,abstemious,ascetic
42,abstemious,austere
43,abstemious,continent
44,abstemious,frugal
45,abstemious,moderate
46,abstemious,moderating
47,abstemious,restrained
48,abstemious,self-denying
49,abstemious,self-restrained
50,admonish,advise
51,admonish,berate
52,admonish,censure
53,admonish,chide
54,admonish,enjoin
55,admonish,exhort
56,admonish,rebuke
57,admonish,reprimand
58,admonish,scold
59,admonish,upbraid
60,adulterate,contaminate
61,adulterate,alloy
62,adulterate,amalgamate
63,adulterate,attenuate
64,adulterate,blend
65,adulterate,cheapen
66,adulterate,commingle
67,adulterate,cook
68,adulterate,corrupt
69,adulterate,cut
70,aesthetic,artistic
71,aesthetic,creative
72,aesthetic,esthetic
73,aesthetic,artful
74,aesthetic,gorgeous
75,aesthetic,inventive
76,aesthetic,displeasing
77,aesthetic,ugly
78,aesthetic,unattractive
79,aesthetic,aesthetic
80,aggregate,accumulated
81,aggregate,combined
82,aggregate,corporate
83,aggregate,cumulative
84,aggregate,added
85,aggregate,amassed
86,aggregate,assembled
87,aggregate,collected
88,aggregate,collective
89,aggregate,composite
90,alacrity,alertness
91,alacrity,avidity
92,alacrity,briskness
93,alacrity,cheerfulness
94,alacrity,dispatch
95,alacrity,eagerness
96,alacrity,enthusiasm
97,alacrity,expedition
98,alacrity,fervor
99,alacrity,gaiety
100,alleviate,allay
101,alleviate,assuage
102,alleviate,ease
103,alleviate,mitigate
104,alleviate,lighten
105,alleviate,mollify
106,alleviate,pacify
107,alleviate,soft-pedal
108,alleviate,pour oil on
109,alleviate,take the bite out
110,amalgamate,admix
111,amalgamate,alloy
112,amalgamate,ally
113,amalgamate,coalesce
114,amalgamate,combine
115,amalgamate,compound
116,amalgamate,consolidate
117,amalgamate,fuse
118,amalgamate,incorporate
119,amalgamate,integrate
120,ambiguous,cryptic
121,ambiguous,dubious
122,ambiguous,enigmatic
123,ambiguous,equivocal
124,ambiguous,inconclusive
125,ambiguous,obscure
126,ambiguous,opaque
127,ambiguous,puzzling
128,ambiguous,questionable
129,ambiguous,uncertain
130,ambivalence,doubt
131,ambivalence,hesitancy
132,ambivalence,hesitation
133,ambivalence,indecision
134,ambivalence,uncertainty
135,ambivalence,fluctuation
136,ambivalence,haze
137,ambivalence,inconclusiveness
138,ambivalence,irresoluteness
139,ambivalence,muddle
140,ameliorate,alleviate
141,ameliorate,lighten
142,ameliorate,mitigate
143,ameliorate,amend
144,ameliorate,help
145,ameliorate,improve
146,ameliorate,meliorate
147,ameliorate,relieve
148,ameliorate,upgrade
149,ameliorate,step up
150,anachronism,misplacement
151,anachronism,prolepsis
152,anachronism,solecism
153,anachronism,chronological error
154,anachronism,metachronism
155,anachronism,misdate
156,anachronism,postdate
157,analogous,akin
158,analogous,comparable
159,analogous,corresponding
160,analogous,related
161,analogous,alike
162,analogous,consonant
163,analogous,convertible
164,analogous,correspondent
165,analogous,equivalent
166,analogous,homologous
167,anarchy,chaos
168,anarchy,confusion
169,anarchy,disorder
170,anarchy,hostility
171,anarchy,nihilism
172,anarchy,rebellion
173,anarchy,riot
174,anarchy,turmoil
175,anarchy,unrest
176,anarchy,disorganization
177,anomalous,abnormal
178,anomalous,atypical
179,anomalous,divergent
180,anomalous,incongruous
181,anomalous,peculiar
182,anomalous,unnatural
183,anomalous,aberrant
184,anomalous,bizarre
185,anomalous,eccentric
186,anomalous,exceptional
187,antipathy,animosity
188,antipathy,animus
189,antipathy,antagonism
190,antipathy,aversion
191,antipathy,distaste
192,antipathy,enmity
193,antipathy,hatred
194,antipathy,hostility
195,antipathy,ill will
196,antipathy,loathing
197,apathy,indifference
198,apathy,insensitivity
199,apathy,lethargy
200,apathy,aloofness
201,apathy,coldness
202,apathy,coolness
203,apathy,detachment
204,apathy,disinterest
205,apathy,dispassion
206,apathy,disregard
207,appease,allay
208,appease,alleviate
209,appease,assuage
210,appease,blunt
211,appease,calm
212,appease,lessen
213,appease,mitigate
214,appease,mollify
215,appease,placate
216,appease,quell
217,apprise,advise
218,apprise,brief
219,apprise,inform
220,apprise,notify
221,apprise,enlighten
222,apprise,fill in
223,apprise,tip off
224,apprise,conceal
225,apprise,hide
226,apprise,secret
227,approbation,admiration
228,approbation,approval
229,approbation,bells
230,approbation,consent
231,approbation,endorsement
232,approbation,esteem
233,approbation,favor
234,approbation,go-ahead
235,approbation,okay
236,approbation,permission
237,appropriate,applicable
238,appropriate,apt
239,appropriate,convenient
240,appropriate,correct
241,appropriate,fitting
242,appropriate,good
243,appropriate,opportune
244,appropriate,pertinent
245,appropriate,proper
246,appropriate,relevant
247,arduous,backbreaking
248,arduous,burdensome
249,arduous,exhausting
250,arduous,formidable
251,arduous,grueling
252,arduous,laborious
253,arduous,onerous
254,arduous,painful
255,arduous,rigorous
256,arduous,strenuous
257,artless,ingenuous
258,artless,direct
259,artless,genuine
260,artless,guileless
261,artless,honest
262,artless,innocent
263,artless,naive
264,artless,natural
265,artless,open
266,artless,plain
267,ascetic,austere
268,ascetic,disciplined
269,ascetic,abstinent
270,ascetic,spartan
271,ascetic,abstaining
272,ascetic,abstemious
273,ascetic,puritanical
274,ascetic,strict
275,ascetic,abstinent
276,ascetic,ascetic
277,assiduous,diligent
278,assiduous,exacting
279,assiduous,indefatigable
280,assiduous,laborious
281,assiduous,scrupulous
282,assiduous,zealous
283,assiduous,active
284,assiduous,attentive
285,assiduous,busy
286,assiduous,constant
287,assuage,allay
288,assuage,alleviate
289,assuage,appease
290,assuage,lessen
291,assuage,mitigate
292,assuage,mollify
293,assuage,pacify
294,assuage,placate
295,assuage,quench
296,assuage,sate
297,attenuate,constrict
298,attenuate,debilitate
299,attenuate,vitiate
300,attenuate,abate
301,attenuate,contract
302,attenuate,cripple
303,attenuate,deflate
304,attenuate,disable
305,attenuate,dissipate
306,attenuate,enfeeble
307,audacious,adventurous
308,audacious,bold
309,audacious,courageous
310,audacious,foolhardy
311,audacious,resolute
312,audacious,risky
313,audacious,aweless
314,audacious,brassy
315,audacious,brave
316,audacious,cheeky
317,austere,exacting
318,austere,forbidding
319,austere,formal
320,austere,rigid
321,austere,sober
322,austere,somber
323,austere,stringent
324,austere,ascetic
325,austere,astringent
326,austere,cold
327,aver,affirm
328,aver,assert
329,aver,avouch
330,aver,claim
331,aver,contend
332,aver,declare
333,aver,emphasize
334,aver,insist
335,aver,justify
336,aver,predicate
337,banal,bland
338,banal,corny
339,banal,dumb
340,banal,hackneyed
341,banal,mundane
342,banal,stupid
343,banal,trite
344,banal,vapid
345,banal,blah
346,banal,bromidic
347,belie,contradict
348,belie,negate
349,belie,repudiate
350,belie,confute
351,belie,contravene
352,belie,controvert
353,belie,deny
354,belie,disagree
355,belie,explode
356,belie,gainsay
357,beneficent,altruistic
358,beneficent,benevolent
359,beneficent,benign
360,beneficent,big-hearted
361,beneficent,charitable
362,beneficent,compassionate
363,beneficent,generous
364,beneficent,helpful
365,beneficent,humanitarian
366,beneficent,kind
367,bolster,aid
368,bolster,boost
369,bolster,buoy
370,bolster,buttress
371,bolster,cushion
372,bolster,help
373,bolster,maintain
374,bolster,reinforce
375,bolster,shore up
376,bolster,strengthen
377,bombastic,grandiose
378,bombastic,histrionic
379,bombastic,rhapsodic
380,bombastic,aureate
381,bombastic,balderdash
382,bombastic,big-talking
383,bombastic,declamatory
384,bombastic,euphuistic
385,bombastic,flowery
386,bombastic,full of hot air
387,boorish,barbaric
388,boorish,churlish
389,boorish,coarse
390,boorish,impolite
391,boorish,rude
392,boorish,tasteless
393,boorish,ugly
394,boorish,uncivilized
395,boorish,vulgar
396,boorish,bad-mannered
397,burgeon,prosper
398,burgeon,snowball
399,burgeon,sprout
400,burgeon,blossom
401,burgeon,bud
402,burgeon,expand
403,burgeon,flower
404,burgeon,grow
405,burgeon,increase
406,burgeon,mushroom
407,burnish,buff
408,burnish,furbish
409,burnish,glance
410,burnish,glaze
411,burnish,gloss
412,burnish,luster
