,0,1,2,3,4
0,abate,decrease,diminish,dull,dwindle
1,aberrant,abnormal,deviant,psycho,weird
2,abeyance,discontinuation,dormancy,inactivity,intermission
3,abscond,bolt,break,decamp,disappear
4,abstemious,abstinent,ascetic,austere,continent
5,admonish,advise,berate,censure,chide
6,adulterate,contaminate,alloy,amalgamate,attenuate
7,aesthetic,artistic,creative,esthetic,artful
8,aggregate,accumulated,combined,corporate,cumulative
9,alacrity,alertness,avidity,briskness,cheerfulness
10,alleviate,allay,assuage,ease,mitigate
11,amalgamate,admix,alloy,ally,coalesce
12,ambiguous,cryptic,dubious,enigmatic,equivocal
13,ambivalence,doubt,hesitancy,hesitation,indecision
14,ameliorate,alleviate,lighten,mitigate,amend
15,anachronism,misplacement,prolepsis,solecism,chronological error
16,analogous,akin,comparable,corresponding,related
17,anarchy,chaos,confusion,disorder,hostility
18,anomalous,abnormal,atypical,divergent,incongruous
19,antipathy,animosity,animus,antagonism,aversion
20,apathy,indifference,insensitivity,lethargy,aloofness
21,appease,allay,alleviate,assuage,blunt
22,apprise,advise,brief,inform,notify
23,approbation,admiration,approval,bells,consent
24,appropriate,applicable,apt,convenient,correct
25,arduous,backbreaking,burdensome,exhausting,formidable
26,artless,ingenuous,direct,genuine,guileless
27,ascetic,austere,disciplined,abstinent,spartan
28,assiduous,diligent,exacting,indefatigable,laborious
29,assuage,allay,alleviate,appease,lessen
30,attenuate,constrict,debilitate,vitiate,abate
31,audacious,adventurous,bold,courageous,foolhardy
32,austere,exacting,forbidding,formal,rigid
33,aver,affirm,assert,avouch,claim
34,banal,bland,corny,dumb,hackneyed
35,belie,contradict,negate,repudiate,confute
36,beneficent,altruistic,benevolent,benign,big-hearted
37,bolster,aid,boost,buoy,buttress
38,bombastic,grandiose,histrionic,rhapsodic,aureate
39,boorish,barbaric,churlish,coarse,impolite
40,burgeon,prosper,snowball,sprout,blossom
41,burnish,buff,furbish,glance,glaze
42,buttress,abutment,column,mainstay,pier
43,cacophonous,discordant,noisy,raucous,clinking
44,capricious,arbitrary,careless,erratic,fickle
45,castigation,chastisement,discipline,penalty,reproof
46,catalyst,impetus,incentive,motivation,stimulant
47,caustic,abrasive,acerbic,acid,biting
48,chicanery,dishonesty,duplicity,machination,stratagem
49,coagulate,clabber,coalesce,compact,concentrate
50,coda,farewell,windup,adieu,climax
51,cogent,compelling,convincing,forceful,persuasive
52,commensurate,comparable,compatible,consistent,proportionate
53,compendium,abstract,brief,conspectus,digest
54,complaisant,accommodating,amiable,compliant,conciliatory
55,compliant,docile,flexible,willing,easy
56,conciliatory,appeasing,assuaging,calm,civil
57,condone,excuse,forget,forgive,ignore
58,confound,amaze,astonish,astound,baffle
59,connoisseur,aficionado,buff,devotee,dilettante
60,contention,argument,conflict,controversy,dispute
61,contentious,antagonistic,combative,testy,argumentative
62,contrite,apologetic,humble,remorseful,repentant
63,conundrum,enigma,mystery,riddle,brain-teaser
64,converge,assemble,concentrate,mingle,coincide
65,convoluted,intricate,labyrinthine,perplexing,puzzling
66,craven,mean-spirited,chicken,yellow,cowardly
67,daunt,appall,baffle,deter,discourage
68,decorum,civility,correctness,decency,demeanor
69,default,delinquency,nonpayment,absence,blemish
70,deference,yielding,acquiescence,capitulation,complaisance
71,delineate,define,depict,lay out,limn
72,denigrate,besmirch,defame,disparage,impugn
73,deride,disdain,disparage,mock,ridicule
74,derivative,cognate,secondary,subordinate,acquired
75,desiccate,dehydrate,deplete,devitalize,divest
76,desultory,aimless,chaotic,erratic,haphazard
77,deterrent,disincentive,hindrance,obstacle,bridle
78,diatribe,denunciation,invective,jeremiad,screed
79,dichotomy,difference of opinion,difference,disagreement,disunion
80,diffidence,backwardness,bashfulness,constraint,doubt
81,diffuse,broadcast,circulated,diluted,dispersed
82,digression,detour,footnote,apostrophe,aside
83,dirge,elegy,hymn,chant,coronach
84,disabuse,debunk,disillusion,enlighten,correct
85,discerning,astute,insightful,knowledgeable,penetrating
86,discordant,cacophonous,clashing,dissonant,divergent
87,discredit,defame,degrade,destroy,disgrace
88,discrepancy,difference,disparity,distinction,divergence
89,discrete,disconnected,distinct,various,detached
90,disingenuous,deceitful,dishonest,false,unfair
91,disinterested,aloof,casual,dispassionate,impartial
92,disjointed,confused,incoherent,jumbled,rambling
93,dismiss,decline,disband,dissolve,expel
94,disparage,belittle,decry,defame,degrade
95,disparate,contrasting,discordant,dissimilar,distinct
96,dissemble,affect,camouflage,cloak,conceal
97,disseminate,advertise,circulate,disperse,propagate
98,dissolution,disintegration,divorce,partition,detachment
99,dissonance,discord,discrepancy,disparity,dissension
100,distend,amplify,augment,balloon,bloat
101,distill,condense,extract,infuse,refine
102,diverge,deviate,radiate,stray,veer
103,divest,bankrupt,deprive,dismantle,rob
104,document,archive,certificate,diary,evidence
105,dogmatic,arbitrary,arrogant,assertive,categorical
106,dormant,asleep,comatose,inert,inoperative
107,dupe,patsy,sitting duck,butt,chump
108,ebullient,agitated,brash,buoyant,chipper
109,eclectic,broad,diverse,varied,wide-ranging
110,efficacy,adequacy,competence,effectiveness,potency
111,effrontery,arrogance,assurance,audacity,backtalk
112,elegy,knell,lament,plaint,requiem
113,elicit,bring out,evoke,extort,extract
114,embellish,adorn,bedeck,dress up,embroider
115,empirical,experimental,factual,observational,empiric
116,emulate,follow suit,imitate,mimic,mirror
117,endemic,local,regional,ancient,earliest
118,enervate,debilitate,devitalize,disable,enfeeble
119,engender,arouse,beget,breed,bring about
120,enhance,add to,appreciate,augment,boost
121,ephemeral,fleeting,short-lived,transitory,brief
122,equanimity,aplomb,calmness,composure,coolness
123,equivocate,cavil,con,dodge,elude
124,erudite,knowledgeable,literate,scholarly,brainy
125,esoteric,abstruse,arcane,mystical,Delphic
126,eulogy,citation,paean,tribute,acclaim
127,euphemism,circumlocution,delicacy,floridness,grandiloquence
128,exacerbate,aggravate,annoy,heighten,inflame
129,exculpate,absolve,acquit,amnesty,clear
130,exigency,contingency,vicissitude,acuteness,constraint
131,extrapolation,calculation,estimate,estimation,forecast
132,facetious,amusing,blithe,capering,clever
133,facilitate,aid,ease,expedite,further
134,fallacious,beguiling,deceiving,deceptive,deluding
135,fatuous,absurd,asinine,birdbrained,boneheaded
136,fawning,flattering,bootlicking,bowing,cowering
137,felicitous,apt,opportune,propitious,telling
138,fervor,ardor,earnestness,intensity,passion
139,flag,banner,emblem,streamer,colors
140,fledgling,apprentice,chick,colt,greenhorn
141,flout,defy,disregard,mock,repudiate
142,foment,abet,arouse,brew,incite
143,forestall,anticipate,avert,deter,hinder
144,frugality,moderation,prudence,thrift,avarice
145,futile,fruitless,hollow,impractical,ineffective
146,gainsay,combat,contravene,controvert,cross
147,garrulous,chatty,glib,loquacious,voluble
148,goad,catalyst,compulsion,desire,drive
149,gouge,channel,cut,excavation,furrow
150,grandiloquent,aureate,big-talking,bombastic,declamatory
151,gregarious,affable,sociable,clubby,companionable
152,guileless,unsophisticated,aboveboard,artless,candid
153,gullible,foolish,unsophisticated,unsuspecting,wide-eyed
154,harangue,diatribe,discourse,jeremiad,oration
155,hyperbole,hype,metaphor,overstatement,PR
156,iconoclast,critic,cynic,dissenter,dissident
157,idolatry,adoration,worship,idolism,account
158,immutable,abiding,enduring,immovable,inflexible
159,impair,blunt,damage,debilitate,decrease
160,impassive,emotionless,matter-of-fact,placid,reticent
161,impede,block,curb,cut off,delay
162,impermeable,airtight,dense,hermetic,impassable
163,imperturbable,assured,complacent,composed,cool
164,impervious,immune,impassable,impenetrable,inaccessible
165,implacable,inexorable,intractable,relentless,ruthless
166,implicit,constant,contained,definite,implied
167,implode,cave in,fall down,fold,fall in
168,inadvertently,negligently,recklessly,heedlessly,rashly
169,inchoate,amorphous,elementary,embryonic,formless
170,incongruity,inconsistency,difference,inappropriateness,mismatch
171,inconsequential,insignificant,negligible,trivial,unimportant
