,word,meaning
0,abate,subside or moderate
1,aberrant,abnormal or deviant
2,abeyance,suspended action
3,abscond,depart secretly and hide
4,abstemious,sparing in eating and drinking; temperate
5,admonish,warn; reprove
6,adulterate,make impure by adding inferior or tainted substances
7,aesthetic,artistic; dealing with or capable of appreciating the beautiful
8,aggregate,gather; accumulate
9,alacrity,cheerful promptness; eagerness
10,alleviate,relieve
11,amalgamate,combine; unite in one body
12,ambiguous,unclear or doubtful in meaning
13,ambivalence,the state of having contradictory or conflicting emotional attitudes
14,ameliorate,improve
15,anachronism,something or someone misplaced in time
16,analogous,comparable
17,anarchy,absence of governing body; state of disorder
18,anomalous,abnormal; irregular
19,antipathy,aversion; dislike
20,apathy,lack of caring; indifference
21,appease,pacify or soothe; relieve
22,apprise,inform
23,approbation,approval
24,appropriate,acquire; take possession of for one's own use
25,arduous,hard; strenuous
26,artless,without guile; open and honest
27,ascetic,practicing self-denial; austere
28,assiduous,diligent
29,assuage,ease or lessen (pain); satisfy (hunger); soothe (anger)
30,attenuate,"make thinner; weaken or lessen (in density, force, degree)"
31,audacious,daring; bold
32,austere,forbiddingly stern; severely simple and unornamented
33,aver,"assert confidently or declare; as used in law, state formally as a fact"
34,banal,hackneyed; commonplace; trite; lacking originality
35,belie,contradict; give a false impression
36,beneficent,kindly; doing good
37,bolster,support; reinforce
38,bombastic,pompous; using inflated language
39,boorish,rude; insensitive
40,burgeon,grow forth; send out buds
41,burnish,make shiny by rubbing; polish
42,buttress,support; prop up
43,cacophonous,discordant; inharmonious
44,capricious,unpredictable; fickle
45,castigation,punishment; severe criticism
46,catalyst,"agent that stimulates or precipitates a reaction, development, or change"
47,caustic,burning; sarcastically biting
48,chicanery,trickery; deception
49,coagulate,thicken; congeal; clot
50,coda,concluding section of a musical or literary composition; something that summarizes
51,cogent,convincing
52,commensurate,"corresponding in extent, degree, amount, etc.; proportionate"
53,compendium,"brief, comprehensive summary"
54,complaisant,trying to please; overly polite; obliging
55,compliant,yielding; conforming to requirements
56,conciliatory,reconciling; soothing
57,condone,overlook; forgive; give tacit approval; excuse
58,confound,confuse; puzzle
59,connoisseur,"person competent to act as a judge of art, etc.; a lover of an art"
60,contention,claim; thesis
61,contentious,quarrelsome
62,contrite,penitent
63,conundrum,riddle; difficult problem
64,converge,approach; tend to meet; come together
65,convoluted,coiled around; involved; intricate
66,craven,cowardly
67,daunt,intimidate; frighten
68,decorum,propriety; orderliness and good taste in manners
69,default,failure to act
70,deference,courteous regard for another's wish
71,delineate,portray; depict; sketch
72,denigrate,blacken
73,deride,ridicule; make fun of
74,derivative,unoriginal; obtained from another source
75,desiccate,dry up
76,desultory,aimless; haphazard; digressing at random
77,deterrent,something that discourages; hindrance
78,diatribe,bitter scolding; invective
79,dichotomy,split; branching into two parts (especially contradictory ones)
80,diffidence,shyness
81,diffuse,wordy; rambling; spread out (like a gas)
82,digression,wandering away from the subject
83,dirge,lament with music
84,disabuse,correct a false impression; undeceive
85,discerning,mentally quick and observant; having insight
86,discordant,not harmonious; conflicting
87,discredit,defame; destroy confidence in; disbelieve
88,discrepancy,lack of consistency; difference
89,discrete,separate; unconnected; consisting of distinct parts
90,disingenuous,lacking genuine candor; insincere
91,disinterested,unprejudiced
92,disjointed,lacking coherence
93,dismiss,eliminate from consideration; reject
94,disparage,belittle
95,disparate,basically different; unrelated
96,dissemble,disguise; pretend
97,disseminate,distribute; spread; scatter (like seeds)
98,dissolution,disintegration; looseness in morals
99,dissonance,discord; opposite of harmony
100,distend,expand; swell out
